Institution,City,State,Zip,Instituion URL,Cost of Attendance,In-state Tuition,Out-of-State Tuition,Average Faculty Salary,Student Spending Ratio
Rice University,Houston,TX,77005-1827,www.rice.edu/,65150.0,49112.0,49112.0,16579.0,1.6927436767427513
Richland College,Dallas,TX,75243-2199,www.richlandcollege.edu,10511.0,1770.0,5220.0,8164.0,2.899029126213592
Saint Edward's University,Austin,TX,78704-6489,https://www.stedwards.edu/,59409.0,47440.0,47440.0,8991.0,0.4801505981032264
St Philip's College,San Antonio,TX,78203-2098,www.alamo.edu/spc/,11987.0,3030.0,14220.0,6462.0,4.401681759379042
University of St Thomas,Houston,TX,77006-4696,https://www.stthom.edu/,44170.0,31460.0,31460.0,7634.0,0.7882504404390839
Sam Houston State University,Huntsville,TX,77340,www.shsu.edu/,22120.0,8536.0,18664.0,8058.0,0.7445694552745906
San Antonio College,San Antonio,TX,78212-3941,www.alamo.edu/sac,11507.0,3030.0,14220.0,7536.0,3.32332268370607
San Jacinto Community College,Pasadena,TX,77505,www.sanjac.edu/,13677.0,1872.0,5040.0,7130.0,2.255779045331732
Schreiner University,Kerrville,TX,78028-5697,www.schreiner.edu/,39205.0,30470.0,30470.0,6594.0,0.6492765605622158
St. Mary's University,San Antonio,TX,78228,www.stmarytx.edu/,41856.0,32140.0,32140.0,9768.0,0.6989657049537289
South Plains College,Levelland,TX,79336,www.southplainscollege.edu/,13208.0,2240.0,4088.0,6054.0,2.065743944636678
South Texas College of Law Houston,Houston,TX,77002,www.stcl.edu/,43757.0,29400.0,30324.0,17598.0,0.7129664248859643
Southern Methodist University,Dallas,TX,75275-0221,https://www.smu.edu/,74306.0,56560.0,56560.0,13112.0,0.6522747425141532
Southwest Texas Junior College,Uvalde,TX,78801-6297,www.swtjc.net/,13168.0,2502.0,5886.0,5554.0,2.189247311827957
Southwestern Assemblies of God University,Waxahachie,TX,75165,www.sagu.edu/,33819.0,19834.0,19834.0,5281.0,0.5356581841030474
Southwestern University,Georgetown,TX,78626,www.southwestern.edu/,55886.0,43560.0,43560.0,8474.0,0.7237085145683132
Stephen F Austin State University,Nacogdoches,TX,75961,www.sfasu.edu/,21677.0,8844.0,18972.0,7881.0,0.9277493606138107
Texas State University,San Marcos,TX,78666,www.txstate.edu/,22791.0,10581.0,22397.0,8418.0,0.8527397260273972
Southwestern Adventist University,Keene,TX,76059,www.swau.edu/,32356.0,22188.0,22188.0,6522.0,0.6437795056928631
Southwestern Christian College,Terrell,TX,75160-4812,www.swcc.edu/,16790.0,8131.0,8131.0,3882.0,0.462037037037037
Sul Ross State University,Alpine,TX,79832,www.sulross.edu/,20112.0,8806.0,21557.0,6613.0,1.8611275964391691
Tarleton State University,Stephenville,TX,76401-0000,www.tarleton.edu/,21795.0,7851.0,17621.0,7651.0,0.9883251657538196
Tarrant County College District,Fort Worth,TX,76102-6524,www.tccd.edu/,10849.0,1728.0,8235.0,7249.0,3.4559322033898305
Temple College,Temple,TX,76504-7435,www.templejc.edu/,11099.0,2424.0,6120.0,5884.0,1.4371973796639135
University of Texas Southwestern Medical Center,Dallas,TX,75390-9096,www.utsouthwestern.edu/,11445.75,2395.0,5833.0,10548.0,40.05385606182579
The University of Texas Health Science Center at San Antonio,San Antonio,TX,78229-3900,www.uthscsa.edu/,11792.5,2366.0,5546.0,10033.0,9.816349474022324
The University of Texas Medical Branch at Galveston,Galveston,TX,77555-0129,https://www.utmb.edu/,12139.25,2337.0,5259.0,9077.0,9.626884634931391
Texarkana College,Texarkana,TX,75599,https://www.texarkanacollege.edu/,12486.0,2308.0,4972.0,5559.0,1.9803418803418804
Texas A & M University-Kingsville,Kingsville,TX,78363,https://www.tamuk.edu/,22535.0,9136.0,24687.0,7281.0,1.1108330880188402
Texas A & M University-College Station,College Station,TX,77843-1248,https://www.tamu.edu/,29341.0,12153.0,38602.0,12209.0,1.329999137708028
The University of Texas at Arlington,Arlington,TX,76013,https://www.uta.edu/,23217.0,11040.0,28129.0,9515.0,0.7185993402689672
